CollarSerialNumber,Year,Julianday,Hour,Latitude,Longitude,HDOP,NumSats,FixTime,2D/3D,Date
36092,16,230,2,34.18666,-118.58779,1.1,7,41,3,8/17/2016
36092,16,231,3,34.18256,-118.58488,0.9,8,41,3,8/18/2016
36092,16,232,4,34.17395,-118.58454,0.9,8,57,3,8/19/2016
36092,16,232,17,34.17411,-118.57928,1.7,5,41,3,8/19/2016
36092,16,233,5,34.18008,-118.58229,1.4,5,89,3,8/20/2016
36092,16,233,18,34.18696,-118.58251,1.5,5,41,3,8/20/2016
36092,16,234,6,34.17994,-118.57743,0.9,8,41,3,8/21/2016
36092,16,234,19,34.18001,-118.57485,1.1,7,41,3,8/21/2016
36092,16,235,7,34.1807,-118.57504,0.9,8,41,3,8/22/2016
36092,16,235,20,34.18388,-118.58339,1.3,6,42,3,8/22/2016
36092,16,236,8,34.17979,-118.58522,0.8,9,41,3,8/23/2016
36092,16,236,21,34.18057,-118.58737,1.4,6,57,3,8/23/2016
36092,16,237,22,34.18423,-118.58187,1.5,6,41,3,8/24/2016
36092,16,238,23,34.18318,-118.58408,0.8,10,41,3,8/25/2016
36092,16,240,12,34.18004,-118.58784,0.9,8,41,3,8/27/2016
36092,16,241,1,34.18222,-118.57428,2.2,4,70,3,8/28/2016
36092,16,241,13,34.18126,-118.5884,1.4,5,41,3,8/28/2016
36092,16,243,3,34.1826,-118.58551,1.3,6,41,3,8/30/2016
36092,16,243,16,34.1796,-118.57566,1.1,7,41,3,8/30/2016
